ko_to_module_prokaryotes	SRS012273	SRS011134	SRS011061	SRS011239
M00315	0.0026419746474049682	0.0024985139643280583	0.0005417847847121198	0.000998410896006159
M00316	0.0007595132062646556	0.0005425320718662204	0.0	8.415130635195883e-05
M00317	0.023841547143021634	0.0023720133345425014	0.0003437511363772477	0.00010390557585997004
M00318	0.0004904672237639723	0.00012091035987658325	0.0	0.0
M00319	0.004278458156395468	0.00616339988104148	0.0014687601057577053	0.004258033463278003
M00320	1.2311175130354424	1.2863816730421143	2.174021274235094	1.8325463597682532
M00321	5.475912828615778e-05	0.00037492993059432596	8.974169832802306e-05	3.644581225806667e-05
M00322	0.00034636962542584535	0.0	0.00010878743927665344	0.0039448875446483275
M00323	0.02544260010540596	0.0007274073258122825	0.002409075419854626	0.0019336146383454242
M00324	0.03841532455288439	0.005839727651906388	0.002808459899692045	0.013141190723875151
M00325	0.05145404394895961	0.04259204594859892	0.08216115510813317	0.07912939110397423
M00326	0.0503009926751741	0.04190072773262915	0.08144077182096417	0.07809907704279259
M00328	2.2702562110116378e-05	6.578284347453859e-05	0.0	1.766315815919955e-05
M00330	0.005320428655143333	0.0021914416209152065	0.0004766038748690711	0.003050237863242367
M00331	0.36596541641337216	0.20542540261145995	0.0554887473820839	0.14667028258293774
M00332	0.008490935011102192	0.0034303259637945803	8.566304577998924e-05	0.0033674720640384905
M00333	2.8992873950028804	2.065927575435666	0.9305447359161328	0.9173438738622056
M00334	0.14536540890994631	0.004515751055181097	0.0017126719967527613	0.0060076540617324484
M00335	6.420859984748995	6.243074830089753	7.095697212022717	6.915707558749024
M00336	0.839901347671765	0.5860025914268313	1.2089855571771904	0.9687283483023866
M00338	0.015376343731467132	0.0024200386432583513	0.0005302843339264263	0.007071101616994854
M00339	0.05226401685703177	0.04201121940519627	0.08158706914386765	0.07860991600181763
M00342	0.0035071620871183987	0.0007087617618477703	3.969301916838375e-05	0.004237738013129894
M00343	0.0004674457780746528	0.0010794577359677373	7.0189491043467694e-06	0.0002509589307085213
M00344	0.21248641387507516	0.20650356378076562	0.19768234059579132	0.2501089365788692
M00345	0.6771137931853555	0.6009262884609329	0.8021487507263164	0.8606381474075588
M00346	0.9911453617414894	0.9551835908080885	1.0313513417828506	1.0811826252661225
M00348	0.05215091102708888	0.017077738823775085	0.0015067574582206828	0.00859414351092216
M00349	0.03644411811759708	0.023348069178657893	0.005379042738675054	0.03906404098885251
M00356	0.28418579004333117	0.19392158505697524	0.4402490160716575	0.23661641949759052
M00358	0.01888106362164275	0.0034802968681574703	0.01351778286780402	0.0033818883409195547
M00359	10.894483791885467	10.716981440125448	10.941353429370466	10.878876325575039
M00360	11.07804408143164	10.814046131162955	11.056807812453895	10.962362905015642
M00361	1.6153422741902121	1.615132548362809	2.4203591553005444	2.421410429881541
M00362	2.886559807334132	3.1468887128682272	4.507195095586989	3.662689573685538
M00364	0.2821969232900211	0.2864814137886426	0.3321720892665008	0.3184036780242166
M00365	0.008934450892662097	0.002678938126926377	0.0018226836673689017	0.003335397763551501
M00366	0.2646559687040075	0.27520233337981354	0.3167513080242876	0.3105403532995933
M00367	0.0042157178727045405	0.0015350895140026377	0.0012285515342072527	0.0018761850159938966
M00368	0.26627100481988225	0.2352236668446663	0.255280547732787	0.27505140745287066
M00373	0.6370658263964468	0.5259457193922025	0.9570029106144906	0.7806406667783845
M00374	0.8996900149940106	0.7858489656939956	1.0666398458520585	0.9178672480027487
M00376	1.2870859687333043	1.0738485840120011	1.6962156830532598	1.39179695508685
M00377	1.7346265881907512	1.3502695426457787	1.6894422961715028	1.7782308402010714
M00378	0.0	0.0017162603634413298	0.0	0.0011586049612481012
M00390	0.0	0.001444416349391838	0.0	0.000789626307673645
M00391	0.0006473624457214724	0.00201524658046177	0.0008324089195099749	0.001153659763857211
M00394	1.244547236358881	1.274280245245684	1.441401427916135	1.3806739112863213
M00400	0.0006714635163402017	0.01630185678731225	0.0025644238906971607	0.0011860064355212056
M00401	0.0	0.00048118581251223254	0.0	0.00019720498924378943
M00416	9.741286119591236e-05	0.0	0.0	0.0
M00417	0.022619420141770832	0.0004418046389584293	0.0	0.001949240213329473
M00418	3.079560508455601e-05	1.6151426404485128e-05	5.938454873406171e-05	1.197987347371636e-05
M00422	0.033225052692095046	0.00863874456320404	0.002537742195507332	0.004518037009526336
M00423	0.00030984632418634304	0.0022575356069001024	0.00014416685922059367	2.982884922562229e-05
M00425	4.812327498261168e-06	0.0004107042117898713	0.0	0.0004411117866876317
M00429	1.582022536879421	1.3489994327910415	1.4614797116983187	1.4317026863162834
M00432	1.6125478673536509	1.540977300649215	2.009656033887657	1.73001609043097
M00433	0.0007593825793464491	0.0008498055189350502	0.0003104040316784928	0.0010989535168936134
M00434	1.2923444325852653	1.236973969163257	2.1293289009053185	1.6313464671260316
M00435	0.01993510419938309	0.0013727536962373685	0.0065873515165500674	0.002009570382037728
M00436	0.09385426532751298	0.017244023894238427	0.04688419352721457	0.0421002442084433
M00438	0.0027753053065920747	0.0019714878217628596	0.00028235447761301024	0.0005174118257997316
M00439	1.4726878828383183	1.58145994508591	0.4260570424768751	1.2147732207788104
M00440	0.07563820875041247	0.12868879380842832	0.04867756014031696	0.08008657761509105
M00442	0.04640259974667943	0.026968642751017475	0.00753720110824693	0.00639342549606314
M00443	0.009630493622105772	0.006242076453451254	0.003231012961975767	0.007786466044310044
M00444	0.0015731269824827674	0.00014836263645816373	2.030557595744774e-05	0.0001668270937080246
M00445	0.005381505074503374	0.0037798736576953613	0.007598629286919194	0.0023983053534604674
M00446	0.008968438124650563	0.0003391794149439246	5.026307765141098e-05	0.0006510796597165914
M00447	0.004119611952385611	0.0006048595930113251	0.00041524611009784385	0.00040402868258262585
M00448	0.04210945113045853	0.05599210877335039	0.004841160154367481	0.011881328448684397
M00449	0.011782366749233858	0.0011512625483617266	0.000583172473792491	0.0006772430306962782
M00450	0.0031258996795936475	0.0003384251666050277	0.00012244328418933032	0.0004331561292447763
M00451	0.003552098642768291	0.00011381575516143564	0.0	0.00042368692958670345
M00452	0.010357377493545287	0.00365220478632101	0.0008919635150122616	0.001830759058323552
M00453	0.015823760135843735	0.009587013052525455	0.017386940561025698	0.005675776897565426
M00454	0.9897845541740445	0.8343656788991849	0.7994047778088202	0.8657823090915615
M00455	0.007661897308288207	0.00010354314406152964	0.0	0.0004818323897198012
M00456	0.010964361735119665	0.001459961822609756	0.00027170816692643644	0.0016107711241094072
M00457	0.0018774066981461144	0.0007676591183396705	0.0009955927395909738	0.0011033102457113158
M00458	0.03611021870338865	0.033947504882044094	0.008483879989485812	0.014691361850528693
M00459	0.20102121682103744	0.0792572379687348	0.06016315743581985	0.04489675955515263
M00460	0.004095516725528775	0.0025199599192671433	0.002427391679153169	0.0010571939571218645
M00461	0.002895771230564179	0.000884971558922608	0.00023493684257233115	0.0009689712276562366
M00462	5.672618646966284e-05	8.909981095036221e-05	0.0	0.0
M00463	0.0	0.00025567771837930027	0.0	0.0005727610653678778
M00465	0.0012861074221296156	0.0014817323185470277	0.0014400065578404325	0.00024908781687090934
M00466	0.0003344556130939888	0.0010945255964460736	0.0003028009096617512	0.0
M00467	0.0037365729506809585	0.005939829530465903	0.000649763942430813	0.0007619269819148135
M00468	0.00182062068132999	0.005416449908276985	0.00011019417340523079	0.0002176910742817613
M00469	0.0007478290833106307	0.0005932189055809308	0.0	0.00013502050911950642
M00471	0.01183636386581191	0.007129540049167821	0.004682255505716661	0.0023978465956924133
M00472	0.010325939388119175	0.0010635257436434852	0.0013985877471675825	0.0015350750057820755
M00473	0.011698741200467521	0.00023753233122086838	0.0	0.0007905526907258511
M00474	0.017999431144002074	0.0003680165989861237	0.00032027327769916427	0.0016812010230321025
M00475	0.011157890852112412	0.0003408083029130106	0.0002443105255851289	0.001976064598621913
M00477	0.009250197566758343	0.00044136361116669273	0.00044734652858651386	0.0006151742383955185
M00478	0.015272098213090089	0.004317797782756267	0.005848189452006504	0.016668702573155055
M00479	0.004238920283623971	0.0038077278407007836	0.000839475927878647	0.000353461692106681
M00480	0.0004157406686415062	0.0014360148853587878	0.0	0.0007215569946092237
M00481	0.0018594940243148415	0.0028779474310217327	3.4467035541599287e-05	0.00017372227373416388
M00483	0.0009476827065229552	0.0	0.0	0.00014510201889660187
M00484	0.000402259894989821	0.0003279037282256187	0.0	0.0
M00485	0.4597786160816032	0.3287059782272549	0.15496914611400955	0.2290422027898539
M00486	0.010761317482405927	0.00024431288864957043	0.0	0.0008471850123382707
M00488	0.010321732204848656	0.00028028772337769883	0.0004670461996670325	0.0012970223194656895
M00489	0.0024075185211671047	0.0019518619707088445	0.007992204646176802	8.254496983908277e-05
M00490	0.022588786821355154	0.0024889984237012504	0.005144574045717935	0.015735672143106023
M00491	0.6841353929171101	0.4204935794670184	0.14527348599367707	0.22367320390925008
M00492	0.04253709497841149	0.003692410666095754	0.002443586209250486	0.011609045092412293
M00493	0.00020459248348376807	0.00012716529960897347	0.0	0.0006454085492272466
